id,projects(slug),title_en,title_kk,title_ru,external_link,internal_link
615,bko-bilim,Ministry of Education and Science of the Republic of Kazakhstan,Қазақстан Республикасының Бiлiм және ғылым министрлігі,Министерство образования и науки Республики Казахстан,https://www.gov.kz/memleket/entities/edu?lang=ru,
546,bko-zher,Central authorized body on land management,Жер ресурстарын басқару жөніндегі орталық уәкілетті орган,Центральный уполномоченный орган по управлению земельными ресурсами,https://www.gov.kz/memleket/entities/moa?lang=ru,
547,bko-zher,Department of the central authorized body for land management,Жер ресурстарын басқару жөніндегі орталық уәкілетті органның ведомствосы,Ведомство центрального уполномоченного органа по управлению земельными ресурсами,https://www.gov.kz/memleket/entities/land?lang=ru,
640,aktobe-sayasat, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/aktobe?lang=ru
723,aktobe-densaulyk, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/aktobe?lang=ru
730,aktobe-social,Back to the Akimat homepage,Әкімдіктің басты бетіне оралу,Вернуться на главную страницу Акимата,,/memleket/entities/aktobe?lang=ru
663,aktobe-arhiv, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/aktobe?lang=ru
609,aktobe-til, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entitles/aktobe?lang=ru
645,aktobe-bilim, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/aktobe
638,aktobe-transport,Back to the Akimat homepage,Әкімдіктің басты бетіне оралу, Вернуться на страницу Акимата,https://www.gov.kz/memleket/entities/aktobe?lang=ru,
538,aktobe-kasipkerlik, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,/memleket/entities/aktobe?lang=ru,/memleket/entities/aktobe?lang=ru
677,aktobe-industiya-innovatsiya, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/aktobe?lang=ru
639,aktobe-energy, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на страницу Акимата,,/memleket/entities/aktobe?lang=ru
625,aktobe-karzhy, Go back to the Akimat page, Әкімдік бетіне оралу, Вернуться на страницу Акимата,,/memleket/entities/aktobe?lang=ru
716,aktobe-zhastar, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,/memleket/entities/aktobe?lang=ru,
508,aktobe-din,Back to the Akimat homepage,Әкімдіктің басты бетіне оралу,Вернуться на главную страницу Акимата,,/memleket/entities/aktobe?lang=ru
658,aktobe-auyl, Go back to the Akimat page, Әкімдік бетіне оралу, Вернуться на страницу Акимата,https://www.gov.kz/memleket/entities/aktobe?lang=ru,
626,aktobe-gask, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/aktobe?lang=ru
531,aktobe-korgau, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/aktobe?lang=ru
708,aktobe-saulet, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/aktobe
617,aktobe-inspection, Go back to the main page of the Akimat, Әкімдіктің басты бетіне оралу, Вернуться на главную  страницу Акимата,,/memleket/entities/aktobe?lang=ru
685,aktobe-goszakup, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/aktobe?lang=ru
647,aktobe-veterinariya, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/aktobe?lang=ru
620,aktobe-zher-paidalanuy, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/aktobe?lang=ru
296,almobl-balkhash almobl-enbekshikazah almobl-zhambyl almobl-ile almobl-kegen almobl-raiymbek almobl-talgar almobl-uigur almobl-qonaev almobl-transport almobl-kurylys almobl-kasipkerlik almobl-auyl almobl-economy almobl-zher almobl-til almobl-tourism almobl-tabigat almobl-energy almobl-saulet almobl-social almobl-densaulyk almobl-sayasat almobl-bilim almobl-karzhy almobl-cultura-arhiv almobl-sport almobl-enbek zhetysu-zhastar-sayasat-udalen almobl-din almobl-veterinaria almobl-memleket-saulet zhetysu-zher-paidalanu-udalen almobl-satyp-alu almobl-tehnologiya, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу акимата,/memleket/entities/zhetysu,
655,almaty-bostandyk,Government services,Мемлекеттік қызметтер,Государственные услуги,,/memleket/entities/almaty-bostandyk/press/article/details/24413
706,almaty-zhetysu,Announcements,Хабарландыру,Объявления,,/memleket/entities/almaty-zhetysu/press/article/1?lang=ru&publication_type=11
317,aqmola-kokshetau, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/aqmola?lang=ru
540,aqmola-akkol, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на страницу Акимата,,/memleket/entities/aqmola?lang=ru
528,aqmola-birzhan-sal, Go back to the main page of the Akimat of the Akmola region,Ақмола облысы әкімдігінің басты бетіне оралу, Вернуться на страницу Акимата Акмолинской области,,/memleket/entities/aqmola?lang=ru
297,zhambyl-zhualy zhambyl-korday zhambyl-ryskulov zhambyl-moyynkum zhambyl-merke zhambyl-bayzak zhambyl-shu zhambyl-energy zhambyl-saulet zhambyl-sayasat zhambyl-zher zhambyl-social zhambyl-bilim zhambyl-til zhambyl-tabigat zhambyl-auyl zhambyl-karzhy zhambyl-cultura-arhiv zhambyl-kasipkerlik zhambyl-sport zhambyl-economy zhambyl-zhastar-sayasat zhambyl-din zhambyl-enbek zhambyl-zher-paidalanu-udalen zhambyl-memleket-saulet zhambyl-veterinaria zhambyl-tourism zhambyl-transport, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу акимата,/memleket/entities/zhambyl,
275,mangystau-enc, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/mangystau
559,aqmola-atbasar, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/aqmola?lang=ru
389,mangystau-upt, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/mangystau/about?lang=kk
534,aqmola-selinograd, Back to the Akimat of Akmola region homepage, Ақмола облысы әкімдгінің басты бетіне оралу, Вернуться на главную страницу Акимата Акмолинской области,,/memleket/entities/aqmola?lang=ru
361,mangystau-dsb, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/mangystau
724,karaganda-abai,Question & Answer,Сұрақ-жауап,вопрос-ответ,,/memleket/entities/karaganda-abai/virtual-reception
944,karaganda-abai,Frequently Asked Questions,Жиі қойылатын сұрақтар,Часто задаваемые вопросы,,/memleket/entities/karaganda-abai/faq/1
939,karaganda-balkhash,Question & Answer,Сұрақ-жауап,Вопрос-ответ,,/memleket/entities/karaganda-balkhash/virtual-reception/1
622,aqmola-sand,Back to the Akimat homepage,Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/aqmola?lang=ru
274,mangystau-str, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/mangystau?lang=ru
740,ulytau-zhezkazgan,The Department for work with appeals,Өтініштермен жұмыс жөніндегі бөлімі,Отдел по работе с обращениями,https://www.gov.kz/memleket/entities/ulytau-zhezkazgan/about/structure/departments/leadership/14343/1?lang=ru,
746,ulytau-zhezkazgan,Check yourself on the electoral rolls,Сайлаушылар тізімінде өзіңізді тексеріңіз,Проверь себя в списках избирателей,https://t.me/ulytau_sailau_bot,
736,ulytau-zhezkazgan,Question & Answer,Сұрақ-жауап,Вопрос-ответ,,/memleket/entities/ulytau-zhezkazgan/virtual-reception/1?lang=ru
284,mangystau-udr,Back to the Akimat homepage,Әкімдіктің басты бетіне оралу,Вернуться на главную страницу Акимата,https://www.gov.kz/memleket/entities/mangystau?lang=kk,
388,aqmola-burabay, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/aqmola
301,mangystau-vet, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/mangystau
316,mangystau-gosz, Return to the Akimat main page, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,https://www.gov.kz/memleket/entities/mangystau,
289,mangystau-history, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/mangystau
532,aqmola-bulandy,Back to the Akimat homepage,Әкімдіктіңбастыбетіне оралу, Вернуться на страницу Акимата,,/memleket/entities/aqmola?lang=ru
347,aqmola-egin, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/aqmola-egin
469,aqmola-shortandy,Back to the Akimat homepage, Облыс әкімдігінің басты бетіне көшу,На главную страницу Акимата области,,/memleket/entities/aqmola?lang=ru
356,mangystau-soc,Back to the Akimat homepage,Әкімдіктің басты бетіне оралу,Вернуться на страницу Акимата,,/memleket/entities/mangystau?ang=ru
299,mangystau-fin, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/mangystau
332,mangystau-enbek, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на страницу Акимата,,/memleket/entities/mangystau
298,mangystau-uiir, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/mangystau
704,pavlodar-maysk,Information for the public,Тұрғындарға арналған ақпарат,Информация для населения,,/memleket/entities/pavlodar-maysk/press/article/1?lang=ru&publication_type=235
705,pavlodar-maysk,Announcements,Хабарландыру,Объявления,,/memleket/entities/pavlodar-maysk/press/article/1?lang=ru&publication_type=11
747,karaganda-shahtinsk,Question - answer,Сұрақ-жауап,Вопрос-ответ,https://www.gov.kz/memleket/entities/karaganda-shahtinsk/virtual-reception/1?lang=ru,
749,karaganda-shahtinsk,FAQ,Жиі қойылатын сұрақтар,Часто задаваемые вопросы,https://www.gov.kz/memleket/entities/karaganda-shahtinsk/faq/1?lang=ru,
309,aqmola-vet, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/aqmola
533,aqmola-uvp,Back to the Akimat homepage,Әкімдіктің басты бетіне оралу,Вернуться на страницу Акимата,,/memleket/entities/aqmola?lang=ru
509,aqmola-gask, Back to the Akimat homepage,Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/aqmola?lang=ru
557,aqmola-zdrav, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/aqmola?lang=ru
346,aqmola-uzo, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/aqmola
562,aqmola-social, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на страницу Акимата,,/memleket/entities/aqmola?lang=ru
468,aqmola-madeniet, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/aqmola
728,karaganda-priozersk,Question & Answer,СҰРАҚ-ЖАУАП,ВОПРОС-ОТВЕТ,,/memleket/entities/karaganda-priozersk/virtual-reception
339,aqmola-edu, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/aqmola?lang=ru
556,aqmola-upt, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/aqmola?lang=ru
368,aqmola-ugzk, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/aqmola
380,kostanai-zhitikarin-audany-akimat, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/kostanay
307,aqmola-ukoz, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/aqmola?lang=eng
413,aqmola-upp, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на страницу Акимата,,/memleket/entities/aqmola?lang=ru
949,karaganda-enbek,Frequently Asked Questions,Жиі қойылатын сұрақтар,Часто задаваемые вопросы,,/memleket/entities/karaganda-enbek/faq/1
335,kostanai-usunkol-audany-akimat, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/kostanay
424,kostanai-din,Go back to the Akimat page,Әкімдік бетіне оралу,Вернуться на страницу Акимата,,/memleket/entities/kostanay
433,kostanai-kasipkerlik-industiya-innovatsiya, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на страницу Акимата,,/memleket/entities/kostanay?lang
295,kyzylorda-zhalagash kyzylorda-syrdarya kyzylorda-kzo kyzylorda-aral kyzylorda-karmakshy kyzylorda-shieli kyzylorda-zhanakorgan kyzylorda-kazaly kyzylorda-cultura-arhiv kyzylorda-bilim kyzylorda-sport kyzylorda-transport kyzylorda-energy kyzylorda-saulet kyzylorda-tabigat kyzylorda-auyl kyzylorda-densaulyk kyzylorda-economy kyzylorda-kasipkerlik kyzylorda-karzhy kyzylorda-social kyzylorda-sayasat kyzylorda-enbek kyzylorda-tourism kyzylorda-satyp-alu kyzylorda-memleket-saulet kyzylorda-veterinaria kyzylorda-zher-paidalanu kyzylorda-zhumildiru kyzylorda-zher  kyzylorda-tehnologiya kyzylorda-baikonur, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу акимата,/memleket/entities/kyzylorda,
394,mangystau-uzo, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/mangystau
300,akimat-goroda-aktau, Return to the Akimat page, Әкімдіктің басты бетіне оралу, Вернуться на страницу Акимата,https://beta.egov.kz/memleket/entities/mangystau/about?lang=ru,
291,akimat-beyneu, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,/memleket/entities/mangystau/about?lang=,
264,akimat-karakiya, Вack to the Akimat  homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/mangystau
726,aqmola-ush, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/aqmola?lang=ru
512,aqmola-ust, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на главную страницу Акимата,,/memleket/entities/aqmola?lang=ru
362,turkestan-saulet, Back to the Akimat homepage, Әкімдіктің басты бетіне оралу, Вернуться на страницу Акимата,,/memleket/entities/ontustik?lang=ru
